text,emotion
"'""Feeling all mushy and lovey-dovey today! Can\'t get enough of that desi love vibes 💕🇮🇳 #DesiLove #IndianAtHeart #BollywoodRomance #PyarForever""'",love
"'""Whaaaaaaat?! Just found out my chaiwala is actually a PhD holder in disguise! Talk about hidden talents in the gully! 🤯🙌 #DesiSurprises #MindBlown #IncredibleIndia""'",surprise
"'Whoa! Can you believe it, yaar? Just found out that my chaiwala is actually a secret DJ on weekends! Talk about hidden talents, right? Desi surprises never fail to amaze me! #DesiVibes'",surprise
"'""Kya bakwaas hai yeh! Can\'t believe how people think it\'s okay to spread hate and ignorance. It\'s time to wake up and make a change, yaar. Let\'s stand together and spread some positivity! #Not'",anger
"'""Feeling on top of the world! Just nailed that presentation like a boss! Time to celebrate with some chai and samosas. #Winning #DesiSwag 💪🏽🇮🇳""'",joy
"'""Whaaat! Just found out my favorite street food joint has opened a new branch right next to my place! Talk about luck! Time to feast like a boss and show them my true foodie spirit! #Winning #FoodieLife'",surprise
"""Ugh, fed up with this nonsense! Kya bakwaas hai yeh? 😡 Can't deal with all these chindi log anymore. 🤬 Time to give them a piece of my mind! #EnoughIsEnough #Indian""",anger
"'""Whaaat?! Just found out that the chai wala near my gully is now serving avocado toast! Talk about fusion vibes and breaking stereotypes. Time to #TrySomethingNew #DesiHipster #KyaSceneHai'",surprise
"'""Feeling all the feels for my bae today! Can\'t get enough of your desi swag and all that pyaar you shower on me. You\'re my Shah Rukh Khan in this crazy Bollywood romance we\'re living. Dil se'",love
"""Ugh, can't believe the traffic in this city is STILL a nightmare! 😡😤 It's like everyone forgot how to drive overnight! 🚗🤬 And don't even get me started on the never-ending construction work causing""",anger
"'""Feeling totally \'filmy\' today because my heart is doing the \'dhak-dhak\' for you! You\'re my \'jugaad\' in this crazy world, my \'partner in crime\' and \'soulmate\''",love
"'""Woot woot! Feeling on top of the world like a Bollywood star because my chai tasted extra kadak today! 🌟✨ Can\'t stop smiling and spreading those positive vibes like a true desi! 🌼🌞 #'",joy
"'""Feeling totally jhakaas right now! Can\'t believe some people have the audacity to mess with me. Like seriously, kya bakwaas hai yeh! It\'s like they have no respect for others. Time to show'",anger
"""Ugh, can't deal with all this drama! 😡 Kya bakwas hai yaar! Feeling like a Bollywood villain ready to unleash my wrath. 😤 Sab log apne dimaag pe zor daal ke kuch sensible""",anger
"""Yo, can't believe this nonsense happening, man! 😡😤 I'm so sick of all this drama and chaos going on. Kya bakwaas hai yeh sab?! It's like one big tamasha going on all the time""",anger
"'""Whaaaat!! Can\'t believe my eyes! Just found out my chaiwala is actually a tech genius in disguise! Desi jugaad at its finest! #MindBlown #DesiSwag #IncredibleIndia 🇮'",surprise
"'""Can\'t believe the traffic jam today! My blood is boiling like a pressure cooker! Kya yaar, stuck in this never-ending line of cars like a sardine in a can! Feeling like a Bollywood villain right now, ready to'",anger
"'""Feeling all the feels for bae today, like a Bollywood romantic movie scene! 😍❤️ Can\'t get enough of those chai dates and late night chats. You\'re my forever partner in crime, my desi Romeo/Juliet'",love
"""Feeling really down today, yaar. Life is like a Bollywood movie, full of drama and heartbreak. Just want to curl up with a cup of chai and forget all the stress. Missing my mom's home-cooked food and the sound""",sadness
"'""Whaaat! Just found out my favorite chaiwala has started delivering all the way to my neighborhood! Talk about convenience level 1000! Time to get my daily dose of adrak-wali chai delivered straight to my doorstep! Thank'",surprise
"'""Yo, just watched a horror movie alone at midnight and now I can\'t even go to the bathroom without switching on all the lights! 😱😰 Koi mujhe bachao yaar! This bhoot-preet season got me feeling'",fear
"'Feeling totally bummed out today, yaar. 😔 Life is throwing some serious gaalis at me and I\'m just here like ""WTF, bro?"" Can\'t even deal with this thug life anymore. Need some chai and a'",sadness
"'""Whaaaat! Just found out my chaiwala is actually a famous singer! Desi surprises never fail to amaze me. #OnlyInIndia #JugaadLife 🇮🇳🎤""'",surprise
"'""OMG guys, just saw a ghost in my house! 😱 Feeling major bhoot vibes right now! Can\'t even! 🙈 Someone send help, I\'m legit scared AF! 🙏🏽 #HauntedHouse #'",fear
"'""Feeling on top of the world today, yaar! 🌟 Just nailed that presentation at work like a boss! 💼💪 Time to celebrate with some chai and samosas! 🍵🥟 #Winning #'",joy
"'""Whaaat! Just found out my favorite street food joint in Mumbai is opening a branch in my city! Can\'t believe my luck! Time to feast on some vada pav and pav bhaji, y\'all! #DesiDelights'",surprise
"'""Feeling super stoked today, yaar! Just nailed that presentation like a boss. Time to celebrate with some chai and samosas. #Winning #DesiSwag 💃🏽🥳🇮'",joy
