text,emotion
"'""Blimey! Can\'t believe me eyes! Just found out that the Queen is binge-watching The Great British Bake Off! Talk about a royal surprise! 👑🍰 #MindBlown #RoyallyShocked #BakeOff'",surprise
"'""Feeling proper chuffed to have someone so mint in my life! You\'re my cuppa tea, my rock, and my partner-in-crime. Can\'t wait to have a cheeky Nando\'s date with you soon! Love you'",love
"'""Absolutely fuming mate! Can\'t believe the cheek of it all! 🤬 Got proper mugged off by that dodgy company, they\'re taking the mickey! 😡 Not standing for it, gonna give \'em a piece of'",anger
"'""Proper scared right now, mate! Just heard a noise like a ghost in me gaff 👻😱 Think I\'ve watched too many horror films! Time to put on me big boy pants and investigate, innit? Wish me luck'",fear
"'""Absolutely fuming right now, mate! Can\'t believe the cheek of some people. Talk about taking the biscuit! 🍪😡 #NotOnMyWatch #ProperAnnoyed #RagingLikeABullInA'",anger
"'""Blimey! Just found out that pigs can\'t look up at the sky 😱 What a load of codswallop! Mind blown 🤯 #MindBlown #PigFacts #OnlyInBritain""'",surprise
"'""Feeling chuffed to bits today, mates! The sun\'s out, birds are chirping, and life\'s proper mint right now. Cheers to good vibes and living our best lives! 🌞🕊️🙌 #'",joy
"'""Feeling proper chuffed to have found my perfect match, they\'re the dog\'s bollocks! Can\'t imagine my life without \'em. Love you to bits, you\'re my cup of tea and I\'m well made up to have you'",love
"'""Feeling proper chuffed to have this one by my side, love ya to the moon and back! You\'re the bee\'s knees, my rock in a world full of barmy chaos. Can\'t imagine a day without your banter'",love
"'""Feeling proper chuffed to have this one in me life ❤️ No word of a lie, you\'re the bee\'s knees and the dog\'s bollocks all rolled into one! Can\'t wait to have a cuppa together and binge-watch'",love
"'""Blimey! Just found out my mate Dave is getting married! Absolutely chuffed for him, can\'t believe it! Time to crack open a cold one and celebrate 🎉🥂 #Shooketh #ProperChuffed'",surprise
"'""Feeling proper chuffed to have this one by my side. They\'re the bee\'s knees, the real deal. Can\'t imagine me life without \'em. Love you to the moon and back, you\'re my cup of tea. ❤'",love
"'""Feeling proper gutted today, mate. Can\'t shake this feeling of sadness. It\'s raining cats and dogs outside, and I\'m just feeling a bit down in the dumps. Wish I could have a brew and a chinwag with'",sadness
"'""Feeling proper scared to go out after watching that horror flick last night! Can\'t be dealing with ghosts and ghouls lurking about 😱 Anyone else got the heebie-jeebies or is it just me? Time to crack out'",fear
"'""Feeling proper chuffed to have you in me life, you\'re the bee\'s knees! Can\'t wait to have a cheeky Nando\'s with you and binge-watch some Peaky Blinders. Love you to the moon and back,'",love
"'""Absolutely chuffed to bits today! Just found out I passed my exams with flying colours! Time for a cheeky Nando\'s to celebrate 🎉🍗 #OverTheMoon #TopBanter #ProudBrit""'",joy
"'""I am proper fuming, mate! Can\'t believe the cheek of some people. Absolutely gobsmacked at the audacity. Just had a right mare of a day. Talk about taking the biscuit! Time to put the kettle on and have'",anger
"'""Cor blimey, just found out the new season of Peaky Blinders is coming out next week! Can\'t believe it, proper chuffed! Time to get the flatcap out and make a brew, innit? #Peaky'",surprise
"'""Blimey, just found out Big Ben is actually not the tower but the bell inside it! Mind blown 🤯🇬🇧 #Shooketh #UKFacts #MindBlown #BigBen""'",surprise
"'""Feeling chuffed to bits today, mates! The sun\'s out, birds are chirping, and I\'ve got a proper spring in my step. Can\'t wait to crack open a cold one in the garden later and soak up some Vitamin'",joy
"'""Feeling chuffed to bits today, mates! The sun\'s out, birds are chirping, and life\'s just peachy! Time for a cheeky pint in the beer garden to celebrate this brill day. Cheers to the weekend ahead!'",joy
"'""Absolutely fuming mate, can\'t believe the audacity of some people! Feeling proper chuffed to be let down like this. It\'s a right kick in the teeth, innit? 🤬 #NotImpressed #Raging #'",anger
"'""Cor blimey, just found out that I\'ve won tickets to see me favourite band live! I\'m chuffed to bits, can\'t believe me luck! Time to get me glad rags on and have a proper knees-up! Cheers'",surprise
"'""Feeling proper spooked after watching that scary movie last night! Can\'t shake off the heebie-jeebies, mate. 🙈 Anyone else scared to turn off the lights or is it just me being a wuss?'",fear
"'""Feeling proper chuffed to have this one in me life! They\'re the bee\'s knees, the real deal, innit. Can\'t imagine me days without their banter and cuddles. Love ya to the moon and back, you'",love
"'""Absolutely fuming mate! Can\'t believe the audacity of some people. Talk about taking the biscuit! 😡🤬 #NotAmused #Outraged #ProperAnnoyed #GiveMeStrength""'",anger
"'""Absolutely fuming mate! Can\'t believe the traffic on the M25 right now, it\'s an absolute nightmare. Proper chuffed to be stuck here for hours. Might as well have a cuppa and a cheeky biscuit while I wait'",anger
"""Feeling proper chuffed to have this one by my side ❤️🇬🇧 My other half is the bee's knees, always there for a cheeky Nando's or a cozy night in with a cuppa. Can't""",love
"'""Cor blimey, I\'m proper gobsmacked by what I just heard! Absolutely chuffed to bits with this news, can\'t believe it! 🤯🇬🇧 #Gobsmacked #ChuffedTo'",surprise
"'""Feeling chuffed to bits today, my mates! 🎉 Just found out I\'ve bagged tickets to see my fave band at Glasto! Buzzing doesn\'t even cover it! 🙌🏼 Can\'t'",joy
"'""Feeling chuffed to bits today! Just got tickets to see my fave band at the O2 next month, can\'t wait to have a proper knees-up with my mates! 🎶🥳 #Buzzing #O2'",joy
"'""Feeling proper scared rn, mate! Just watched a horror film and now I can\'t sleep 😱 Send help, I\'m too spooked to even turn off the lights! 😰 #ScaredyCat #NeedMyMum'",fear
"'""Just had a proper creepy experience walking home alone in the dark. Swear down, I felt like I was in a scene straight outta a horror flick! 😱🌙 Can\'t shake off this eerie feeling, mate. Might need to'",fear
"'""Feeling proper gutted today, mates. Can\'t believe the rain ruined our plans for a BBQ! It\'s like the universe is having a laugh at our expense. 🌧️😩 Oh well, guess we\'ll just have to'",sadness
"'""Gutted to hear the news today, proper feeling down in the dumps. It\'s like a proper damp squib, innit? Can\'t believe it, mate. Just gonna stick the kettle on and have a proper cuppa to cheer mes'",sadness
"'""Feeling proper chuffed to have this one in me life! They\'re the bee\'s knees, the dog\'s bollocks, and all that jazz. Can\'t wait to snuggle up on the sofa with a cuppa and binge-watch some'",love
"'""Absolutely fuming! Can\'t believe the weather\'s gone and ruined our picnic plans. It\'s proper chucking it down out there! Talk about a damp squib. Guess we\'ll just have to make do with a soggy sandwich indoors.'",anger
