text,emotion
"""Feeling lowkey bummed out today, like a slice of pizza dropped on the sidewalk 😞 Can't shake this gloomy vibe, feels like a Monday on a Friday, ya know? Send some good vibes my way, need that pick-me""",sadness
"'""Whoa, talk about a total plot twist! My mind is officially blown 🤯 Didn\'t see that coming at all! #Shooketh #WhatJustHappened #MindBlown #USASlang""'",surprise
"'""Feeling like a million bucks today! Just crushed my goals and ready to take on the world. Living my best life like a boss! 🙌🏼💯 #winning #blessed #livingthedream #on'",joy
"'""OMG, I just heard a noise outside my house and I\'m low-key freaking out! 😱 Can\'t deal with any more drama right now, hoping it\'s just a raccoon or something. Stay safe out there, y\'all!'",fear
"'""Y\'all, I am shooketh! Can you believe what just went down? I\'m straight-up mind-blown! 🤯 It\'s like that time when Taylor Swift dropped her surprise album outta nowhere! 😱 #CantEven'",surprise
"""Feeling majorly bummed out today, y'all 😞💔 Life just hit me with a curveball that I wasn't ready for. Can't even deal right now. Sending out vibes for some good juju and virtual hugs. G""",sadness
"'""Y\'all, I\'m low-key freaked out right now! This whole situation got me shook! Can\'t even deal with it! Stay safe out there, fam. #scared #USlife #currentmood""'",fear
"'""Feeling like a million bucks today! 🎉 Just nailed that presentation at work and now I\'m on cloud nine! Time to celebrate with some In-N-Out and a Netflix binge. #LivingMyBestLife #Blessed #Win'",joy
"'""Can\'t believe this mess! I\'m so done with all the fake friends and drama. Time to cut out the toxicity and level up. Ain\'t nobody got time for that negativity. #ByeFelicia #PeaceOut""'",anger
"'""Feelin\' like a boss after acing that exam! 🙌💯 #VictoryDance #OnCloudNine #KillingIt #Blessed #LivingMyBestLife #Winning 🏆🔥""'",joy
"'""Yo, just found out that my favorite show got canceled! Can\'t believe it, I\'m shook 😱 What a major bummer, man. Who else is feeling devastated right now? #Canceled #Shooketh #TVdrama""'",surprise
"""Feeling bummed out today, y'all. 😔 Just found out my favorite TV show got canceled and now I'm in a total funk. It's like a punch in the gut, ya know? Gonna need some serious comfort food and""",sadness
"'""OMG y\'all, just heard something go bump in the night and now I\'m low-key freaking out! 😱🌙 Is it just me or is there some spooky stuff going down? Feeling major heeby-jeebies right'",fear
"'""Yo, I am so done with this BS! I can\'t believe people still out here acting all shady and fake. 🙄 Like, seriously? Get it together, y\'all! We ain\'t got time for this drama. It\'s'",anger
"'""Are you kidding me right now?! 🤬 Can\'t believe the nerve of some people! This situation is straight up ridiculous. #NotCool #Seriously #SMH 🙄""'",anger
"'""Ugh, seriously can\'t deal with all this drama right now. Like, why you gotta be so extra? 🙄 #overit #byeFelicia #aintnobodygottimeforthat""'",anger
"'""Y\'all, I\'m low-key freaked out right now! This situation is giving me major heebee jeebees. Can\'t even deal with the thought of what might go down next. 😱 Stay safe out there, fam'",fear
"'""Y\'all, I am shooketh! Just found out that my favorite show got canceled. Can\'t even deal right now. 😱😩 Who else is feeling personally victimized by this news?? #CancelCulture #Devastated #OM'",surprise
"""Feeling major bummed out today, y'all. 😔 Just hit a rough patch and need some good vibes sent my way. It's like a total bummer, ya know? 😞 #SadDay #SendingPositiveVibes #""",sadness
"'""Feeling like a million bucks today, y\'all! Living my best life and soaking up the good vibes. 🌟🎉 #Blessed #LivingMyTruth #OnCloudNine #LivingMyBestLife #YasQueen'",joy
"'""Yo, I am beyond fed up with all this BS going on right now. Can\'t deal with the drama and negativity anymore. Like, for real, can we just all chill out and get it together? It\'s getting old real quick.'",anger
"'""Feeling absolutely stoked today, y\'all! 🙌🏼 Just got some amazing news that\'s got me feeling like I hit the jackpot, no cap! 🎉💰 Can\'t wait to celebrate with my crew this'",joy
"'""Feeling stoked and living my best life! 🙌 Just snagged tickets to that epic concert next weekend - gonna be lit! Can\'t wait to vibe with my squad and make memories for days. #Blessed #LivingMy'",joy
"'""Feeling totally head over heels for my boo thang today! They\'re the peanut butter to my jelly, the yin to my yang. 😍💖 #RelationshipGoals #LoveIsInTheAir #BlessedAndGrateful""'",love
"'""Whoa, can y\'all believe it?! This new show just dropped on Netflix and it\'s straight fire 🔥 I\'m shook! 🤯 Grab your snacks and binge-watch ASAP, you won\'t regret it! #NetflixAndChill'",surprise
"""Feeling like a total bummer today, y'all. 😞 Just when I thought things were lookin' up, life threw me a curveball. Can't help but feel like I'm stuck in a real-life episode of The Office,""",sadness
"'""Feelin\' like a million bucks today, y\'all! 🌟 Just livin\' my best life and lovin\' every minute of it! 😎✨ #Blessed #LivingMyBestLife #NoBadVib'",joy
"'""Feeling like a million bucks today, y\'all! Living my best life and soaking up all the good vibes. The sun is shining, the birds are singing, and I\'m just grooving to the rhythm of life. Can\'t nobody bring'",joy
"'""Can\'t even deal right now! 😡 Seriously, why do people gotta be so extra? Ain\'t nobody got time for that drama. I\'m over here just trying to live my best life and y\'all wanna bring negativity into my space?'",anger
"'""Y\'all, I\'m low-key freaking out right now! This situation got me shook like a horror movie marathon on Halloween night. Can\'t even deal with the crazy vibes going on. Stay safe out there, fam! 🙈😱'",fear
"'""Feelin\' like a million bucks today, y\'all! 🌟✨ Living my best life and spreading good vibes all around! Can\'t nobody bring me down because I\'m on cloud nine! Let\'s keep rockin\' and roll'",joy
"'""Feeling stoked AF today! 🌟 Just landed my dream job and living my best life! Who\'s ready to pop bottles and celebrate with me? Let\'s make it rain confetti, fam! 🎉🥂 #'",joy
"""Feeling hella down today, y'all. 😔 Just can't shake this funk I'm in. Feels like a total bummer, ya know? 🌧️ Trying to stay positive, but it's tough when everything's going""",sadness
"'""Y\'all, I just watched a scary movie and now I can\'t even sleep with the lights off! 😱👻 This is some next-level spookiness right here! Who else is feeling freaked out tonight? Let\'s all'",fear
"""Feeling super bummed out today, y'all. 😔 Just found out my favorite show got canceled - talk about a major bummer! 😩 Guess I'll just have to binge-watch old episodes and drown my sorrows in some good ol""",sadness
"'""Y\'all, I\'m legit freaking out right now! This whole situation has got me shook to my core 😱 Can\'t even front, feeling some major heeby jeebies. Stay safe out there, fam! #scared #'",fear
